Genecards	OMIM	Pharmgkb	TTD	DrugBank	Total
CRH		SLC5A3			CRH
HNRNPC		SDHA			HNRNPC
APOB		RPS6KA6			APOB
IL34		FGF12			IL34
MYH7		DOC2A			MYH7
IL7R		SMARCE1			IL7R
IRF4		NGEF			IRF4
SOX9		GSC			SOX9
CFHR2		CNTFR			CFHR2
EPSTI1		CMKLR1			EPSTI1
CYP1A1		WWP1			CYP1A1
HLA-C		MMS19			HLA-C
USP18		RCAN1			USP18
PLP1		WWOX			PLP1
IL17C		DAB1			IL17C
STXBP2		KCNH2			STXBP2
GLDC		OPHN1			GLDC
GALC		PURA			GALC
MAVS		MYLIP			MAVS
CBS		EPM2A			CBS
EDNRA		GJA5			EDNRA
SMPD1		PLP1			SMPD1
IFIT3		DNER			IFIT3
FLNA		NAIP			FLNA
RNY1		MMP9			RNY1
ISG20		GAS7			ISG20
TASL		APBA1			TASL
CDKN1B		PCSK2			CDKN1B
KITLG		PHYH			KITLG
SETX		RAC3			SETX
CYP2B6		CXCL1			CYP2B6
TAP1		POU4F2			TAP1
TNFRSF11B		LMX1A			TNFRSF11B
GJA1		KCNH1			GJA1
MTMR3		KCNH5			MTMR3
COL1A2		MYF5			COL1A2
NPPA		MSX2			NPPA
FGA		SEMA4F			FGA
PLA2R1		PCGF2			PLA2R1
ACE2		VAPA			ACE2
CCND1		DYNLT1			CCND1
MIR3074		CYFIP1			MIR3074
COMT		BLOC1S6			COMT
HLA-DRB5		TIMM8A			HLA-DRB5
MEN1		PAX6			MEN1
DDX60		TLX1			DDX60
CHD7		S100B			CHD7
IL17B		ONECUT2			IL17B
CYP19A1		BMP1			CYP19A1
ESR2		MBP			ESR2
JUN		ARSB			JUN
MDM2		DNM1L			MDM2
EP300		HEY2			EP300
PSAP		DCTN1			PSAP
ITGB3		NKX2-6			ITGB3
GSTM1		RNF128			GSTM1
GSTP1		ARID1B			GSTP1
CD84		CYP26C1			CD84
NPC1		HDAC4			NPC1
NEU1		RRM2B			NEU1
CPT2		AMH			CPT2
S100B		CELSR1			S100B
MIR410		NR2F1			MIR410
NTRK1		JAK3			NTRK1
MMP1		ARID1A			MMP1
HPRT1		SIM2			HPRT1
PLAU		GSS			PLAU
EGR2		FZD9			EGR2
HOTAIR		DVL3			HOTAIR
UNC13D		DMBX1			UNC13D
L1CAM		HOXA7			L1CAM
CSF1R		HOXD11			CSF1R
CASP10		HOXB1			CASP10
ACTA2		LBX1			ACTA2
DYNC1H1		RAPGEF3			DYNC1H1
BMP6		EBP			BMP6
