pre,herb1,herb2,herb3,herb4,herb5,herb6,herb7,herb8,herb9,herb10,herb11,herb12,herb13,herb14,herb15,herb16,herb17,herb18,herb19,herb20,herb21,herb22,herb23,herb24,herb25,herb26,herb27
pre28,Aged Tangerine Peel,Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit,Chinese Soft-Shelled Turtle Shell,Danshen Root,Dioscorea Rhizome,Figwort Root,Glossy Privet Fruit,Moutan Root Bark,Oriental Waterplantain Rhizome,Phellodendron Bark,Poria,Prepared Rehmannia Root,Red Peony Root,Sweet Wormwood Herb,,,,,,,,,,,,
pre29,Anemarrhena Rhizome,Chinese Soft-Shelled Turtle Shell,Cynanchi Root,Eclipta Herb,Figwort Root,Glossy Privet Fruit,Heydyotis,Honeysuckle Vine,Licorice Root,Lycium Root Bark,Moutan Root Bark,Rehmannia Root,Stellaria Root,Sweet Wormwood Herb,,,,,,,,,,,,,
pre30,Anemarrhena Rhizome,Bearded Scutellaria,Cynanchi Root,Figwort Root,Honeysuckle Vine,Large-Leaf Gentian Root,Nippon Yam Rhizome,Ophiopogon Tuber,Rehmannia Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,,,
pre31,Bearded Scutellaria,Giant Knotweed Rhizome and Root,Honeysuckle Vine,Large-Leaf Gentian Root,Moutan Root Bark,Nippon Yam Rhizome,Rehmannia Root,Szechwan Lovage Rhizome,,,,,,,,,,,,,,,,,,,
pre32,Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit,Astragalus Root,Chinese Date,Chinese Magnolia Vine Fruit,Dioscorea Rhizome,Moutan Root Bark,Ophiopogon Tuber,Oriental Waterplantain Rhizome,Poria,Prepared Rehmannia Root,Pseudostellaria Root,Rehmannia Root,White Atractylodes Rhizome,,,,,,,,,,,,,
pre33,Acanthopanax Root Bark,Atractylodes Rhizome,Licorice Root,Prepared Sichuan Aconite Root,Prepared Wild Aconite Root,Safflower,Smoked Plum,,,,,,,,,,,,,,,,,,,,
pre34,Astragalus Root,Danshen Root,Lily Bulb,Red Peony Root,Rehmannia Root,Saposhnikovia Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,,,,,,
pre35,Astragalus Root,Codonopsis Root,Danshen Root,Glossy Privet Fruit,Heat-Processed Licorice Root with Honey,Poria,Rehmannia Root,Stiff Silkworm,Sub-Erect Spatholobus Stem,Sweet Wormwood Herb,Tangkuei,White Atractylodes Rhizome,White Peony Root,,,,,,,,,,,,,,
pre36,Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit,Chinese Soft-Shelled Turtle Shell,Dioscorea Rhizome,Heydyotis,Licorice Root,Lycium Root Bark,Moutan Root Bark,Red Peony Root,Rehmannia Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,,
pre37,Arnebia Root,Licorice Root,Moutan Root Bark,Peach Kernel,Rhubarb Root and Rhizome,,,,,,,,,,,,,,,,,,,,,,
pre38,Agrimony,Asiatic Cornelian Cherry Fruit,Cherokee Rosehip,Chinese Magnolia Vine Fruit,Chinese Wolfberry Fruit,Eclipta Herb,Euryale Seed,Glossy Privet Fruit,Heat-Processed Licorice Root with Honey,Heydyotis,Licorice Root,Madder Root,Red Peony Root,Sanguisorba,White Peony Root,,,,,,,,,,,,
pre39,Anemarrhena Rhizome,Astragalus Root,Chinese Soft-Shelled Turtle Shell,Chinese Wolfberry Fruit,Glossy Privet Fruit,Moutan Root Bark,Phellodendron Bark,Polygonatum Rhizome,Rehmannia Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,,,
pre40,Adenophora Root,Chinese Magnolia Vine Fruit,Chinese Wolfberry Fruit,Dodder Seed,Glossy Privet Fruit,Milkvetch Root Fried With Honey,Mulberry Fruit,Ophiopogon Tuber,Polygonatum Rhizome,Prepared Rehmannia Root,Tangkuei,,,,,,,,,,,,,,,,
pre41,Asiatic Cornelian Cherry Fruit,Dioscorea Rhizome,Eclipta Herb,Glossy Privet Fruit,Moutan Root Bark,Oriental Waterplantain Rhizome,Poria,Rehmannia Root,,,,,,,,,,,,,,,,,,,
pre42,Astragalus Root,Chinese Magnolia Vine Fruit,Dragon Bone,Eclipta Herb,Glossy Privet Fruit,Heat-Processed Licorice Root with Honey,Ophiopogon Tuber,Oyster Shell,Pseudostellaria Root,Szechwan Lovage Rhizome,,,,,,,,,,,,,,,,,
pre43,Atractylodes Rhizome,Baical Skullcap Root,Dahurian Angelica Root,Licorice Root,Manchurian Wildginger Root,Notopterygium Rhizome and Root,Red Peony Root,Rehmannia Root,Saposhnikovia Root,Szechwan Lovage Rhizome,Tail Part Of Chinese Angelica Root,Turmeric Rhizome,,,,,,,,,,,,,,,
pre44,Arnebia Root,Asiatic Cornelian Cherry Fruit,Danshen Root,Dioscorea Rhizome,Fleece-Flower Root,Large-Leaf Gentian Root,Moutan Root Bark,Oriental Waterplantain Rhizome,Poria,Prepared Rehmannia Root,Uncaria Vine,,,,,,,,,,,,,,,,
pre45,Arnebia Root,Astragalus Root,Bearded Scutellaria,Bittersweet Herb,Centipede,Chinaroot Greenbrier,Chinese Soft-Shelled Turtle Shell,Heydyotis,Isatis Leaf,Large-Leaf Gentian Root,Licorice Root,Red Peony Root,Rehmannia Root,Scorpion,Tangkuei,,,,,,,,,,,,
pre46,Arnebia Root,Astragalus Root,Centipede,Dendrobium,Heydyotis,Licorice Root,Ophiopogon Tuber,Orient Vine,Prepared Rehmannia Root,Prepared Sichuan Aconite Root,Pubescent Angelica Root,Red Peony Root,Tangkuei,Wasp Nest,,,,,,,,,,,,,
pre47,Astragalus Root,Centipede,Codonopsis Root,Danshen Root,Degelatined Deer Horn,Dendrobium,Epimedium Leaf,Euonymus Alatus,Heydyotis,Licorice Root,Poria,Prepared Rehmannia Root,Scorpion,Tangkuei,,,,,,,,,,,,,
pre48,Bamboo Leaves,Bitter Apricot Kernel,Coix Seed,Magnolia Bark,Pinelliae Rhizoma Praeparatum Cum Alumine,Rice Paper Plant Pith,Round Cardamon Fruit,Talcum,,,,,,,,,,,,,,,,,,,
pre49,Achyranthes Root,Amomum Fruit,Desertliving Cistanche,Dioscorea Rhizome,Licorice Root,Phellodendron Bark,Rehmannia Root,,,,,,,,,,,,,,,,,,,,
pre50,Arnebia Root,Forsythia Fruit,Japanese Honeysuckle Flower,Large-Leaf Gentian Root,Moutan Root Bark,Ophiopogon Tuber,Orient Vine,Red Peony Root,Water Buffalo Horn,White Atractylodes Rhizome,,,,,,,,,,,,,,,,,
pre51,Anemarrhena Rhizome,Asiatic Cornelian Cherry Fruit,Astragalus Root,Chinese Magnolia Vine Fruit,Dioscorea Rhizome,Figwort Root,Heydyotis,Lily Bulb,Moutan Root Bark,Ophiopogon Tuber,Oriental Waterplantain Rhizome,Poria,Rehmannia Root,,,,,,,,,,,,,,
pre52,Anemarrhena Rhizome,Chinese Date,Figwort Root,Glabrous Greenbrier Rhizome,Gypsum,Heydyotis,Licorice Root,Polished Round-Grained Rice,Rehmannia Root,Stiff Silkworm,Water Buffalo Horn,,,,,,,,,,,,,,,,
pre53,Achyranthes Root,Aged Tangerine Peel,Danshen Root,Earthworm,Glabrous Greenbrier Rhizome,Large-Leaf Gentian Root,Myrrh,Notopterygium Rhizome and Root,Nutgrass Galingale Rhizome,Olibanum,Peach Kernel,Pinellia Tuber,Poria,Safflower,Szechwan Lovage Rhizome,Tangkuei,,,,,,,,,,,
pre54,Achyranthes Root,Anemarrhena Rhizome,Areca Seed,Atractylodes Rhizome,Bitter Apricot Kernel,Cape Jasmine Fruit,Cassia Twig,Chaenomeles Fruit,Coix Seed,Ephedra,Forsythia Fruit,Gypsum,Japanese Snailseed Root,Notopterygium Rhizome and Root,Phellodendron Bark,Pinelliae Rhizoma Praeparatum,Pubescent Angelica Root,Red Peony Root,Rehmannia Root,Rice Bean,Rice Paper Plant Pith,Silkworm Excrement,Talcum,Tangkuei,White Atractylodes Rhizome,,
pre55,Anemarrhena Rhizome,Chinese Soft-Shelled Turtle Shell,Coptis Rhizome,Figwort Root,Glabrous Greenbrier Rhizome,Glossy Privet Fruit,Gypsum,Japanese Honeysuckle Flower,Phellodendron Bark,Red Peony Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,,
pre56,Astragalus Root,Chinese Magnolia Vine Fruit,Codonopsis Root,Figwort Root,Licorice Root,Ophiopogon Tuber,Rehmannia Root,Tangkuei,White Atractylodes Rhizome,,,,,,,,,,,,,,,,,,
pre57,Asparagus Tuber,Dendrobium,Figwort Root,Fragrant Solomon’S Seal Rhizome,Lycium Root Bark,Moutan Root Bark,Ophiopogon Tuber,Picrorhiza Rhizome,Polygonatum Rhizome,Rehmannia Root,Stellaria Root,Sweet Wormwood Herb,,,,,,,,,,,,,,,
pre58,Asiatic Cornelian Cherry Fruit,Chinese Magnolia Vine Fruit,Chinese Wolfberry Fruit,Dioscorea Rhizome,Dipsacus,Dodder Seed,Eclipta Herb,Glossy Privet Fruit,Moutan Root Bark,Oriental Waterplantain Rhizome,Palm Leaf Raspberry Fruit,Poria,Prepared Rehmannia Root,Rehmannia Root,,,,,,,,,,,,,
