id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulate
CKAP4	0.618485460982949	8.46760265214885	4.29485945647826	7.41117609137063e-05	0.00460424861963894	1.39817932668339	up
MYD88	0.611002280957766	8.87113210646719	6.09371704256955	1.24735500061511e-07	2.69610586070453e-05	7.45395052471028	up
SORT1	0.608597886719203	7.47473945687917	5.19975370992672	3.21481459811451e-06	0.000395001978377023	4.36328279882788	up
CD300C	0.607247991842597	6.88234036404365	3.94699379540076	0.000232667929119969	0.0109887713252468	0.326449363364876	up
CYBB	0.602046003200055	8.73279094752679	6.00927346879059	1.70218458919502e-07	3.53203302257967e-05	7.15781316188604	up
TCN2	0.601516667926663	5.41225215777227	5.39284649975688	1.60855403292144e-06	0.000240125871821006	5.02080535652027	up
CD163	0.599159246301112	7.19332943218364	5.14672625961403	3.88363237367315e-06	0.000457871430418851	4.18395855207571	up
TOP2A	0.597548455807427	4.97771938406539	3.28068583957648	0.00182665667160495	0.0473789074197534	-1.58153471936619	up
HSH2D	0.597262021774738	8.17800815445303	3.37712018810808	0.00137201090152826	0.038849219891054	-1.31880209582332	up
RGL1	0.597093823369674	5.83681416546894	5.41160246442393	1.50342624233559e-06	0.000226058656003359	5.08502797503037	up
GALM	0.595927818847006	6.76985256326865	4.5137241683326	3.53723819864149e-05	0.00263074167103265	2.09429725654749	up
KYNU	0.592386072678966	7.48847293881834	4.33103879677413	6.56474924796722e-05	0.00419133990447138	1.51216365182032	up
TRIM21	0.589139742255873	7.68619796626488	5.03841147123025	5.70387661972896e-06	0.000613240621033036	3.81948500028159	up
GBP1P1	0.588863893189168	5.31164053739905	3.53600079446524	0.000848224857373627	0.0277613025086794	-0.875488712931785	up
C4orf33	0.583896474222017	5.64245248278503	5.60128582646614	7.56726662547936e-07	0.000125616625982957	5.73769264583219	up
PARP10	0.583603272202168	8.41252647902796	4.06676394122064	0.00015765603961238	0.00809743272761607	0.690270766804118	up
KIAA0355	-0.583533747123228	7.0912670394816	-6.53017205083488	2.48143099806514e-08	7.15134627914607e-06	8.99272512662702	down
CDC37	-0.584269971537889	10.6421986837063	-8.53376224842975	1.48265903023312e-11	1.81321598957632e-08	16.0553717632966	down
PDZD4	-0.586025489917742	5.65600609592982	-4.29786598351416	7.33697507915481e-05	0.00458026814146599	1.40763446237684	down
CXXC5	-0.5930139709515	8.06426573846103	-4.39334868261324	5.32231858623698e-05	0.00360245435848764	1.70950421755912	down
SGSM2	-0.594130896080655	8.88573765392761	-5.70038419404033	5.27621901008698e-07	9.1234620382754e-05	6.08077063930095	down
PPP1R13B	-0.594331963621432	5.40601121722072	-5.9339127217012	2.24526533665756e-07	4.47973612842734e-05	6.89408988109548	down
AUTS2	-0.59522964877667	6.93592882782827	-4.48529435851241	3.89702808704289e-05	0.00281753772843693	2.00300757060842	down
COBLL1	-0.601158452162914	6.19308830398357	-4.56998718006446	2.91823899784278e-05	0.00226164607314791	2.27568563197485	down
CD6	-0.604877070587962	9.38712796665733	-4.25077041850128	8.58677011508709e-05	0.00505544614531051	1.25988469568001	down
